id,created_at,text,length,source,favorites,RT
987345148655931398,2018-04-20 15:00:02,"b""Boom boom! \xf0\x9f\x92\xa5 @SAfridiOfficial is part of the ICC World XI who will take on West Indies at Lord's next month in aid\xe2\x80\xa6 https://t.co/rA7FuchSY3""",139,Media Studio,1698,294
987335075309080576,2018-04-20 14:20:00,b'A rare sight - sizzling sun for early season @CountyChamp cricket in England! \xe2\x98\x80\xef\xb8\x8f https://t.co/3lxAayaZBB',104,TweetDeck,619,48
987325008958644224,2018-04-20 13:40:00,b'The ECB have appointed @edsmithwriter as their new national selector as they look to revamp their selection process\xe2\x80\xa6 https://t.co/uP4DwcJfah',140,TweetDeck,251,15
987314944818515969,2018-04-20 13:00:00,b'Yesterday @henrygayle hit his 21st T20 century - three times more than any other player! Turn back time to his firs\xe2\x80\xa6 https://t.co/WrHdUQZlVF',140,Media Studio,1750,192
987295923335294976,2018-04-20 11:44:25,"b'""There\'s nothing more certain in life than change. Having a new captain is a good idea and it maybe would be diffic\xe2\x80\xa6 https://t.co/Nfollcbwcf'",140,TweetDeck,329,16
987268515836104705,2018-04-20 09:55:31,"b'ICYMI, yesterday the ECB proposed a new 100-ball format for their upcoming new domestic competition, and it has cer\xe2\x80\xa6 https://t.co/ojF1PbnAFs'",140,TweetDeck,532,20
987249511088164864,2018-04-20 08:40:00,b'62 teams\n12 regional groups\n1 destination - World Twenty20! \n\nPresenting the full regional qualification groups for\xe2\x80\xa6 https://t.co/zrCqIJE16t',140,TweetDeck,1129,171
987238655826722816,2018-04-20 07:56:52,"b'The #WT20 Asia Qualifier A has kicked off today, with hosts Kuwait, Bahrain, Maldives, Qatar, Saudi Arabia and UAE\xe2\x80\xa6 https://t.co/K2Fao7bY0c'",139,TweetDeck,712,47
987224347852070912,2018-04-20 07:00:00,"b'Happy birthday to @GFoxyFowler, an England batsman who played 21 Tests and 26 ODIs, his best innings a fantastic 20\xe2\x80\xa6 https://t.co/SKRyZHGbdA'",140,TweetDeck,504,29
987209249599045632,2018-04-20 06:00:01,"b'""You need to be able to deceive batsmen.""\n\nChris Woakes explains what it takes to bowl at the death.\xe2\x80\xa6 https://t.co/EnNAFybgFk'",125,TweetDeck,914,40
987192604847722497,2018-04-20 04:53:52,"b'""Let bowlers know who\xe2\x80\x99s in charge!""\n\n@henrygayle is riding high after another T20 \xf0\x9f\x92\xaf. Watch out for him in\xe2\x80\xa6 https://t.co/1DebrbdrCG'",130,TweetDeck,2964,141
987163947244515328,2018-04-20 03:00:00,"b""Sri Lanka's @PereraThisara will be part of the ICC World XI taking on West Indies at Lord's in aid of hurricane rel\xe2\x80\xa6 https://t.co/SMyn6akCbX""",140,Media Studio,982,95
987133757458071552,2018-04-20 01:00:02,"b'#OnThisDay in 1994, @InziTheLegend and Aamer Sohail made a 263 run partnership for Pakistan against New Zealand in\xe2\x80\xa6 https://t.co/Co7Bwr6DBD'",139,TweetDeck,1268,114
987090037442514950,2018-04-19 22:06:18,"b'Ghana secured their place in the regional finals, while Nigeria squeezed home against Sierra Leone on the 4th day o\xe2\x80\xa6 https://t.co/6i3x5KE2XB'",140,TweetDeck,271,12
987043151889100800,2018-04-19 19:00:00,"b""There have been 427 'one Test wonders' - which of them stand out as the most successful in their time in the spotli\xe2\x80\xa6 https://t.co/zR8PD42PnI""",140,TweetDeck,548,27
987016551105744897,2018-04-19 17:14:18,b'RT @westindies: When the Universe Boss @henrygayle found out that @SAfridiOfficial is playing for the @ICC World XI vs the WINDIES in the H\xe2\x80\xa6',140,Twitter for Android,0,193
987012954896740352,2018-04-19 17:00:00,"b'""To be playing alongside so many top players from different countries will definitely be a high point of my career.\xe2\x80\xa6 https://t.co/JAHvATeiu2'",140,TweetDeck,431,28
987003979770015745,2018-04-19 16:24:21,b'The universe boss smashes the first century of #IPL2018! Congratulations @henrygayle \xf0\x9f\x91\x8f https://t.co/mjxDBBGVrK',110,TweetDeck,11129,927
986997865120653312,2018-04-19 16:00:03,"b""Following @dutchiepdb's retirement from international cricket, on #ThrowbackThursday we go back to @KNCBcricket's m\xe2\x80\xa6 https://t.co/2C1Qj6zM3l""",140,Media Studio,361,45
986978980153778176,2018-04-19 14:45:00,b'India captain @imvKohli has re-iterated his desire to play in the @CountyChamp to prepare for the Test series again\xe2\x80\xa6 https://t.co/XiHEjAvarz',140,TweetDeck,1762,169
986965009044594689,2018-04-19 13:49:29,b'The ECB have proposed a radical new 100-balls-a-side format for their new domestic limited-overs competition due to\xe2\x80\xa6 https://t.co/cmQzpzVKJr',140,TweetDeck,560,45
